code,city,airport,country,provider,base,lat,lon
GSP,Greenville-Spartanburg/SC,Greenville-Spartanburg Int’l,USA,SITA,136.85,34.8833,-82.2167
GTF,Great Falls/MT,Great Falls Int’l Airport,USA,SITA,136.85,47.4833,-111.3500
GUA,Guatemala City,La Aurora Int’l Airport,Guatemala,SITA,131.725,14.5833,-90.5167
GUC,Gunnison/CO,Gunnison Crested Butte Rgnl,USA,SITA,136.85,38.5333,-106.9333
GUM,Agana,Guam International Airport,Guam,SITA,131.725,13.4833,144.8000
GUP,Gallup/NM,Gallup Municipal Airport,USA,SITA,136.85,35.5000,-108.7833
GUS,Peru/IN,Grissom ARB,USA,SITA,136.85,40.6500,-86.1333
GUW,Atyrau,Atyrau Int’l Airport,Kazakhstan,SITA,131.725,47.1167,51.8333
GVA,Geneva,Genève Cointrin,Switzerland,skyguide,131.725,46.2167,6.1000
GYD,Baku,Heydar Aliyev Bina Int’l,Azerbaijan,SITA,131.725,40.4833,50.0500
GYE,Guayaquil,Jose Joaquin de Olmedo Int’l Airport,Ecuador,SITA,131.725,-2.1500,-79.9000
HAC,Hachijo,Hachijojima Airport,Japan,Avicom,131.45,33.0833,139.8000
HAJ,Hannover,Hannover Int’l Airport,Germany,DFS,131.725,52.4500,9.6833
HAM,Hamburg,Fuhlsbuttel Int’l Airport,Germany,DFS,131.725,53.6167,9.9833
HAN,Hanoi,Noibai International Airport Terminal 2,Viet Nam,SITA,131.55,21.2167,105.8000
HAS,Hail,Ha’il Airport,Saudi Arabia,GACA,131.725,27.4333,41.6833
HAV,Havana,Jose Marti Int’l Airport,Cuba,SITA,131.725,22.9833,-82.4000
HBA,Hobart,Hobart Int’l Airport,Australia,SITA,131.55,-42.8333,147.5000
HBE,Borg El Arab,Alexandria - Borg El Arab Airport,Egypt,SITA,131.725,30.9167,29.6833
HBT,Hafr,Hafr Al-Batin Airport,Saudi Arabia,GACA,131.725,28.3333,46.1000
HDN,Hayden/CO,Yampa Valley Airport,USA,SITA,136.85,40.4833,-107.2167
HEL,Helsinki,Helsinki-Vantaa Airport,Finland,SITA,131.725,60.3167,24.9667
HER,Heraklion,Nikos Kazantzakis Airport,Greece,SITA,131.725,35.3333,25.1667
HHH,Hilton Head Island/SC,Hilton Head Island Airport,USA,SITA,136.85,32.2167,-80.6833
HIJ,Hiroshima,Hiroshima Airport,Japan,Avicom,131.45,34.3667,132.4167
HIR,Honiara,Honiara Int’l Airport,Solomon Islands,SITA,131.55,-9.4167,160.0333
